area,date,average_price,houses_sold,no_of_crimes,median_salary,life_satisfaction,mean_salary,population_size,number_of_jobs,area_size,no_of_houses,density,code
newham,2011/12/31,207663.5,133.5,2659.166667,29998,7.12,36870,310460,89000,3857,103212,26.8,E09000025
newham,2012/12/31,212824.75,141.9166667,2728.25,30540,7.23,35465,314084,97000,3857,104121,27,E09000025
newham,2013/12/31,222784.1667,198.8333333,2383.25,29334,7.24,32807,318227,104000,3857,104791,27.2,E09000025
newham,2014/12/31,258312.25,253.75,2402.166667,29061,7.54,33619,324322,112000,3857,106760,27.7,E09000025
newham,2015/12/31,297558.0833,256.8333333,2522.916667,28886,7.73,33127,332817,114000,3857,108810,28.2,E09000025
newham,2016/12/31,347956.9167,246.3333333,2597.25,30743,7.61,36946,340978,125000,3857,110251,28.6,E09000025
newham,2017/12/31,362131.5,310.0833333,2879.333333,30770,7.47,38661,347996,125000,3857,112628,29.2,E09000025
newham,2018/12/31,359022.5,264.5833333,3001.666667,30392,7.54,37849,352005,139000,3857,114474,29.7,E09000025
redbridge,2011/12/31,261965.5,210.75,2073.583333,29829,7.33,31948,281395,77000,5644,101348,18,E09000026
redbridge,2012/12/31,265912,208.5833333,1909.583333,28100,7.3,30371,284617,88000,5644,101874,18,E09000026
redbridge,2013/12/31,274824.9167,248.75,1705.166667,31215,7.47,33442,288272,84000,5644,102138,18.1,E09000026
redbridge,2014/12/31,304162.4167,307.75,1692.916667,31127,7.55,33732,293055,89000,5644,102396,18.1,E09000026
redbridge,2015/12/31,343795.3333,288.6666667,1629.833333,29098,7.87,33182,296793,92000,5644,102653,18.2,E09000026
redbridge,2016/12/31,391837.25,255.3333333,1682.083333,28237,7.57,32190,299249,94000,5644,102707,18.2,E09000026
redbridge,2017/12/31,410300.1667,230.5,1954,29189,7.55,32792,301785,97000,5644,103462,18.3,E09000026
richmond upon thames,2011/12/31,434537.0833,261,998.6666667,32197,7.52,37122,187527,95000,5876,82482,14,E09000027
richmond upon thames,2012/12/31,454941.8333,272.6666667,993.5833333,31505,7.4,36411,189145,92000,5876,82691,14.1,E09000027
richmond upon thames,2013/12/31,492115.6667,301.75,896.3333333,31997,7.6,36611,191365,95000,5876,83176,14.2,E09000027
richmond upon thames,2014/12/31,577055.3333,288.8333333,893.0833333,31533,7.54,36975,193585,95000,5876,83540,14.2,E09000027
richmond upon thames,2015/12/31,618778,271.5,894.4166667,32660,7.74,38060,194730,102000,5876,83781,14.3,E09000027
richmond upon thames,2016/12/31,653760.75,243.25,954,33329,7.71,38572,195846,108000,5876,84294,14.3,E09000027
richmond upon thames,2017/12/31,665284.6667,230,1103.083333,32141,7.73,39407,195680,106000,5876,84759,14.4,E09000027
richmond upon thames,2018/12/31,652665.5,219.0833333,1059.416667,34027,7.7,40427,196904,111000,5876,85141,14.5,E09000027
southwark,2011/12/31,312539.5833,264.4166667,2904.166667,36124,7.36,48938,288717,247000,2991,123265,41.2,E09000028
southwark,2012/12/31,331124.1667,279.5,2729.916667,36056,7.21,47611,293530,270000,2991,124319,41.6,E09000028
southwark,2013/12/31,360749.8333,356.75,2688.833333,36198,7.58,43807,298465,256000,2991,125566,42,E09000028
southwark,2014/12/31,427767.5,332.5,2489.166667,34612,7.43,40893,302538,282000,2991,127217,42.5,E09000028
southwark,2015/12/31,467867.5833,338,2600.833333,36238,7.49,42316,308901,289000,2991,128358,42.9,E09000028
southwark,2016/12/31,510331.3333,302.0833333,2708.5,37159,7.37,42583,313223,307000,2991,129740,43.4,E09000028
southwark,2017/12/31,515883.3333,296.6666667,2843.666667,37601,7.47,44008,314232,317000,2991,132152,44.2,E09000028
southwark,2018/12/31,504235.25,300.5833333,2975.5,39998,7.34,48333,317256,329000,2991,132970,44.5,E09000028
sutton,2011/12/31,233026.75,202.75,988.9166667,26743,7.39,29656,191123,78000,4385,79696,18.2,E09000029
sutton,2012/12/31,238842.1667,213.8333333,956.25,25247,7.28,29407,193630,79000,4385,80283,18.3,E09000029
sutton,2013/12/31,252002.75,250.5,863.5,30061,7.49,33223,195914,77000,4385,80510,18.4,E09000029
sutton,2014/12/31,291132.1667,287.3333333,898.9166667,25797,7.6,30752,198134,78000,4385,80810,18.4,E09000029
sutton,2015/12/31,322932.25,283.8333333,906.4166667,27355,7.45,32427,200145,80000,4385,81237,18.5,E09000029
sutton,2016/12/31,365303.0833,272.6666667,919.1666667,28318,7.66,34818,202220,84000,4385,81628,18.6,E09000029
sutton,2017/12/31,376924.5,251.5,1004.833333,27945,7.91,35113,203243,85000,4385,82281,18.8,E09000029
sutton,2018/12/31,379262.5833,223,1008.583333,28853,7.88,32442,204525,78000,4385,82978,18.9,E09000029
tower hamlets,2011/12/31,287262.4167,280.1666667,2450.916667,45970,7.02,86593,256012,251000,2158,105379,48.8,E09000030
tower hamlets,2012/12/31,285453,299.6666667,2467.75,44880,7.32,64782,263003,253000,2158,108254,50.2,E09000030
tower hamlets,2013/12/31,309051.0833,369.1666667,2294.083333,46441,7.5,73376,272890,269000,2158,109215,50.6,E09000030
tower hamlets,2014/12/31,382241.6667,431.6666667,2226.916667,48309,7.54,74087,284015,278000,2158,109875,50.9,E09000030
tower hamlets,2015/12/31,421944,348.5833333,2382.75,46681,7.48,67320,295236,298000,2158,110791,51.3,E09000030
tower hamlets,2016/12/31,457129.5833,383.4166667,2553.166667,45975,7.75,64345,304854,303000,2158,113185,52.5,E09000030
tower hamlets,2017/12/31,459279,297,2669.083333,49369,7.51,75103,307964,317000,2158,118012,54.7,E09000030
