area,date,average_price,houses_sold,no_of_crimes,median_salary,life_satisfaction,mean_salary,population_size,number_of_jobs,area_size,no_of_houses,density,code
harrow,2017/12/31,470763.4167,175.1666667,1163.083333,31255,7.79,39293,248880,97000,5046,89980,17.8,E09000015
harrow,2018/12/31,465907.5,186.1666667,1241.5,30553,7.65,35325,250149,91000,5046,90680,18,E09000015
havering,2011/12/31,219558.8333,215.5833333,1454.5,28415,7.35,31947,237927,82000,11446,99184,8.7,E09000016
havering,2012/12/31,221601.9167,234.1666667,1402.666667,28326,7.36,31759,239733,84000,11446,99226,8.7,E09000016
havering,2013/12/31,226428.8333,297.8333333,1290.166667,29858,7.51,32758,242080,91000,11446,99463,8.7,E09000016
havering,2014/12/31,259267.25,353.8333333,1270.333333,30003,7.62,33536,245974,90000,11446,99619,8.7,E09000016
havering,2015/12/31,291844.8333,349,1365.25,30591,7.69,33850,249085,93000,11446,100261,8.8,E09000016
havering,2016/12/31,341803.9167,314.8333333,1455.916667,28906,7.53,33025,252783,100000,11446,101273,8.8,E09000016
havering,2017/12/31,360479.3333,300,1580.416667,29134,7.58,33432,256039,103000,11446,101716,8.9,E09000016
havering,2018/12/31,370248.9167,293,1558.916667,30181,7.68,34484,257810,108000,11446,101993,8.9,E09000016
hillingdon,2011/12/31,251781.6667,280.0833333,2004.583333,33589,7.4,39436,275499,202000,11570,103907,9,E09000017
hillingdon,2012/12/31,260476.5,274.8333333,1797.833333,33822,7.37,39849,281756,213000,11570,104896,9.1,E09000017
hillingdon,2013/12/31,270594.75,279.5833333,1592.5,35738,7.5,40911,286808,213000,11570,106363,9.2,E09000017
hillingdon,2014/12/31,305781.9167,319.25,1802.75,33984,7.63,42606,292690,220000,11570,106917,9.2,E09000017
hillingdon,2015/12/31,352748.4167,319.9166667,1831.75,32681,7.46,40529,297735,202000,11570,107462,9.3,E09000017
hillingdon,2016/12/31,400791.4167,285.5,1894.833333,33093,7.68,39729,302471,204000,11570,108171,9.3,E09000017
hillingdon,2017/12/31,413586.6667,275.9166667,2368.583333,33596,7.55,41156,302343,216000,11570,108935,9.4,E09000017
hillingdon,2018/12/31,410266,251.4166667,2130.5,31886,7.76,39670,304824,209000,11570,109777,9.5,E09000017
hounslow,2011/12/31,264605.3333,191.1666667,2016.416667,32759,7.26,41142,254927,150000,5659,96892,17.1,E09000018
hounslow,2012/12/31,267958.1667,197.4166667,1983.666667,31821,7.35,41688,259052,160000,5659,97472,17.2,E09000018
hounslow,2013/12/31,290577.3333,237.5,1668,31173,7.33,38522,262407,167000,5659,97704,17.3,E09000018
hounslow,2014/12/31,324525.8333,277.9166667,1696.833333,33038,7.57,41473,265568,164000,5659,98390,17.4,E09000018
hounslow,2015/12/31,351438,277.75,1816.416667,33717,7.54,43037,268770,187000,5659,98787,17.5,E09000018
hounslow,2016/12/31,386462,245.3333333,1904.833333,36235,7.96,47577,271139,197000,5659,99267,17.5,E09000018
hounslow,2017/12/31,400904.5,221.6666667,2073.166667,34119,7.34,42932,269100,186000,5659,99824,17.6,E09000018
hounslow,2018/12/31,396631.0833,191.8333333,2122.583333,35935,7.85,46102,270782,178000,5659,100735,17.8,E09000018
